vaksin_00768	Sebenere aku dom kasihan mas, tp mung dikatutke puskesmas kono wae nggo vaksin
vaksin_00843	Selamat jalan, Dok. Dirimu kini abadi. Terima kasih. Meninggal karena Covid-19, Berikut Sepak Terjang Ketua Uji Klinis Vaksin Sinovac Novilia Sjafri - Regional
vaksin_00847	Menteri Indonesia pantang menyerah! Masih banyak program yang harus dijalankan. Bagi² bansos, beli vaksin, pinjem duit, bangun infrastruktur, dll. Makanya Covid-19 di Indonesia terkendali. Demikian cara menjadi seorang BuzzeRp.
vaksin_00865	Yang bilang covid ini konspirasi udah diemin aja, yang bantu kalo ada yang kena terus masuk IGD dan yang ngemakamin bukan mereka juga
vaksin_00878	Jubir Vaksinasi Covid-19: Keterisian Tempat Rawat di Jawa Di Atas 80 Persen
vaksin_00886	Parti kerajaan buat sidang media tuduh kerajaan sendiri gagal. Siap bagi list dan contoh. Tapi Menteri MKN, Menteri Kanan, Menteri Kesihatan, Menteri Vaksin semua orang dia.. Haha
vaksin_00894	Anaknya mati-matian jagain ibunya pada saat pandemik gini. Ngajakin vaksin sebaik mungkin. . Eh taunya ibunya keras kepala bahkan ga mau vaksin dan ga percaya Covid. . Bentak salah, didemin juga salah.
vaksin_00896	Masjid sekarang dahlah terhad orang, lepastu yang dah lengkap dua dos vaksin je boleh masuk. Kebanyakkan yang dapat 2 dos tu orang tua yang uzur. Jadi kau rasa larat ke dia nak ke masjid ? Yang muda, lengkap 2 dos itupun ada yang tak mensyukuri peluang yang ada.
vaksin_00898	Bang diksa udah vaksin belum?
vaksin_00902	Kenapa klo abis positif mau vaksin harus nunggu 1-3 bulan ya?
vaksin_00908	Yaitu Tercatat sebanyak 3.000 dosis vaksin diberikan selama tiga hari oleh Kodim 0817/Gresik loh!
vaksin_00909	Bagi sebagian masyarakat yang menolak vaksin, Mereka menganggap bahwa kandungan dalam vaksin itu BERBAHAYA. Sepertinya kita perlu memberikan SOSIALISASI. (Titik). - Zs, 2021.
vaksin_00914	Menlu Retno Minta Rusia Prioritaskan Negara ASEAN Terima Vaksin
vaksin_00919	Otw vaksin
vaksin_00920	Yg vaksin sinovac ja banyak meningal dan positif lalu menyebarkannya ke yg blm terkena, ini yg disebut penanganan kah?
vaksin_00921	mantep, semoga nda ramean ngantri lagi klo vaksin pak
vaksin_00924	Bagi yang tidak percaya covid dan vaksin itu konspiresyen dimohon untuk segera mendaftarkan diri ke kuburan atau di icu rs yang terkait untuk merawat pasien. Karena kami butuh orang yang kebal seperti anda (Itung-itung hemat pengeluaran untuk masker ama hazmat)
vaksin_00925	Sy blm vaksin samsek, dan sekarang positif
vaksin_00927	Irdam V/Brawijaya Tinjau Langsung Serbuan Vaksin di Nganjuk
vaksin_00929	Indo ga pingin buat artikel ini ta? Tapi tujuannya ke vaksin local prideeee
vaksin_00931	Vaksinasi Covid - 19 tanpa membedakan domisili di Gresik ini sbg upaya menekan penyebaran Covid - 19
vaksin_00933	Maaf prof, untuk uji klinis tahap3 vaksin di +62 blm ada hasilnya, menurut beliau prof menunggu dulu hasilnya (wait n see) .. terus terang saya galau saat ini...melihat kerumunan antrian vaksin apa tdk akan mjd cluster baru?
vaksin_00937	Rakyat tidak patuh prokes, banyak yang menolak vaksin pula, tapi kok yang disalahkan presiden? Sering tidak masuk di nalar
vaksin_00940	Vaksin COVID-19: 3.32 bilion dos didaftarkan seluruh dunia China kini mendahului
vaksin_00942	katanya kalo di vaksin imun tubuh jadi kuat kaya zilong
vaksin_00945	Tolong tanyain ini org apakah sdh menerima vaksin gratis dari pemerintah.. Klo belum jgn kasih vaksin buat virus covid tapi vaksin anti rabies aja buat ini org..
vaksin_00947	Vaksin pembunuhan secara perlahan
vaksin_00950	Semangaatt mbk Ndut, sabarr, aku jga belum vaksin sek nunggu 3bln setelah sembuh
vaksin_00954	Ayo vaksinasi di gerai vaksin presisi.
vaksin_00956	Otokeee aku vaksin lagi abis idul adha sih tp kebayangnya dah skrg. Soalnya kmrn pas pertama kali, aku dah mencoba santai, tp perawatnya blg "mba takut ya? agak berat nih ditarik keluar suntikannya"
vaksin_00957	Orang Bengkulu banyak ko yg belum vaksin kalu idak covidiot nyo malas daftar, kendaknyo datang langsung vaksin. Siapo kamu? Sultan? Kelak bilo tetumbuk perlu, meringis2 daktu mencak2 ngecekkan pemerintahan wakanda solimin.
vaksin_00958	Sebenarnya ada hikmah Allah bagi PN memerintah sementara, antaranya suntikan vaksin, kalu PH masih lagi perintah, aku rasa mesti rakyat akan dibagitau yg DAP ada agenda utk hapuskan org Melayu mcm mana e wallet dulu diperkenalkan, semua kena canang DAP nak manipulasi data
vaksin_00959	Vaksin dan Swab gratis pak . Banyak orang gak bisa swab karena gak punya duit. Dan beralasan biarin aja sembuh sendiri. Jadinya menular kemana-mana. Keadaan ini mau sampi kapan? Sedangkan setiap saat ada yg covid jg meninggal karena covid.
vaksin_00961	Terpenting bagi kita adalah manfaat perlindungan COVID-19 melalui vaksin. Kita mahu keluar dari pandemik ini secepat mungkin. Bab nak keluar negara, melancong atau berniaga itu adalah urusan kedua. Mungkin lepas ini sudah tidak perlu dah vaksin dan sijil-sijil itu.
vaksin_00981	dibalik drama per-covid-an, siapa yang suka mikir kalo ternyata adanya lonjakan kasus itu karena kerumunan vaksin?
vaksin_00983	Ketahuan bgt pd gak ngikutin perkembangan covid. Ya memang sejak awal persentase kesembuhan dr covid tinggi. Tp mbok ya TULUNGBANGETTULUNG jgn samain sembuh dr covid dng demam 3 hr krn imun ngedrop. Lgpula problemnya bukan angka kesembuhan, tp OVERCONFIDENCE otoritas dan masyrkt.
vaksin_00987	huhu ak blm bisa vaksin karena sisa sisa covid :(
vaksin_01003	Ayo guys follow massal akun ka Dan buat teman-teman yang mau konsultasi soal Covid-19, Vaksin dll bisa DM langsung ya ke akun tsb.... Gratis!
vaksin_01006	Danrem 174 Merauke: Antusias Warga Ikuti Vaksinasi Covid-19 Hadir Sejak Jam 4 Pagi
vaksin_01008	Masak sih! Cyuzz kompas ah! Mereka menteri loh! Eks Pendukung Prabowo-Sandiaga Banyak Tak Percaya Vaksin Covid-19 via
vaksin_01021	Bnde mcm ni pon nk menipu mcm me lah org nk pecaya dkt kkm hmm mmg patut la ramai org xpecaya vaksin xpecaya covid
vaksin_01029	Hi, my sis in law pregnant and dah dapat vaksin date. Soalan saya, kenapa suami dia dapat sekali date yg sama tempat vaksin yg sama? Something fishy is going on here.
vaksin_01031	nanti pagi vaksin tp aku malah begadang :(
vaksin_01034	Dikasih kartu vaksin doang. Trs ntr di sms link untuk sertifikat vaksinnya
vaksin_01038	Kan ada kontak tim medis di kertas yg abis vaksin,dpt ga kertas nya?
vaksin_01039	Maaf, sy habis divaksin sinovac jg sampe dosis yg kedua. Alhamdulillah sampai skrg masih sehat Wal Afiat. Efek vaksin thd tubuh manusia tuh beda2. Mungkin saja ada komorbid yg tidak diketahui saat skrining. Kematian stlh vaksin jgn dipusatkan pd vaksin nya saja. Byk faktor lain
vaksin_01040	gabisa tidur ngecek grup kerjaan, lhah kocak. emang definisi orang daerah banget. ini orangnya emang resek si percaya covid, si pro vaksin, si paling ngerti banyak hal dan si diemmmmmm
vaksin_01046	ke jkt banyak vaksin yg enaakk gc wkwkw
vaksin_01047	Di daerah kenyataannya sangat susah mendapatkan vaksin, banyak syarat administratif, seperti domisili, jenis pekerjaan, dan umur. Kuota selalu penuh. Terkadang ada puskesmas yg kuota 50 per hari tapi selalu habis padahal antrian belum buka dan datang awal sblm puskesmas buka.
vaksin_01048	Tadi pulang kerja cape, bbo sampe jam 10. Trs skrg gabisa bbo lagi. Padahal besok vaksin
vaksin_01051	Dia ni founder baju cetak . Dia pandai dalam marketing Dan system uruskan kewangan perniagaan . Tapi sy terkejut jugak dia buat video antivaksin ni walaupun dia mengaku dia bukan anti vaksin . Nampak mcm x normal dh jadi nya .
vaksin_01052	mak yg amek vaksin, aku pulak yg rasa cam nak demam
vaksin_01057	tu salah kerajaan bukan salah vaksin. paling bertauhid lah ni
vaksin_01058	setau gue ada 2 vaksin, klo sinovac itu dia recovery nya 2minggu cmiiw, trs klo yg az itu 3 bln, tp klo blm fully vaccinated itu lbh bagus sinovac tapi klo uda fully vaccinated lbh bagus az..
vaksin_01059	Lahh samaa,tp grgr malu diliat bawahan kalo ga vaksin jadi nekat wkwkwk
vaksin_01062	Sebelum vaksin: Jangan bergadang HARUS SARAPAN Bawa fotocopy ktp Bawa pulpen sendiri Pake masker double Nanti pas di sana bakal ada screening: Cek tensi sama ditanyain riwayat penyakit
vaksin_01066	mjb, coba liat ig nya abelcantika dan vendryana kak. mereka busui juga dan kebetulan sdh vaksin
vaksin_01067	Entah gimana ya Emang sih guru sama pejabat desa kelurahan udah, tapi ortuku masuk lansia aja sampe sekarang belum vaksin, sementara pakde budhe di daerah lain udah vaksin dari Feb/Maret awal aku lupa -_-
vaksin_01073	Pelajarannya sdh prokes ketatpun masih kena, dah vaksin pun masih kena, gmn yg ga? Untung dptnya bkn karena hbs jalan2 di mall atau liburan dah di hujat kau nak
vaksin_01078	Tuding Vaksin Penyebab Covid, Apoteker: Habis Disuntik Dua Hari Positif
vaksin_01079	Australia kekurangan vaksin, AS tidak membantu
vaksin_01080	Bagaimana tanggapan dkk mengenai dampak negatif/buruk Vaksin khususnya WuhanFLU, hingga kematian vs klaim nya di video soal Vaksin menyebabkan kekebalan tanpa harus sakit terlebih dahulu?
vaksin_01082	Kemarin saudara saya datang dan bilang, PKH di kotanya wajib vaksin duluan. Saya langsung semangat jawab, "Oh, ya! Beberapa dari mereka paling getol cari bansos tapi paling resisten menyatakan ga ada covid. Mereka harus dipaksa vaksin."
vaksin_01084	H. P. Martini Y Manurung, S.E., M.A. selaku wakil ketua Komisi VI DPR RI mengatakan "Kebijakan Pemberlakuan Pembatasan Kegiatan Masyarakat (PPKM) Darurat di Pulau Jawa dan Bali guna menekan Penyebaran Covid-19" Vaksinasi Cegah Pandemi
vaksin_01088	Pen vaksin njirr keluarga gw udh pada vaksin dateng ke puskesmas belum ada vaksin buat anak 15
vaksin_01089	Nah..saya s7 ka. Padahal experiment bikin vaksin butuh waktu lama dr ahlinya.dan setiap jenis vaksin mungkin memiliki fungsi beda.sementara tiba2 mrka dinegeri seberang ramai memaparkan dan menghimbau utk vaksin.smntra kita lihat byk beresiko fatal .lalu siapa yg "bertggung jawb"
vaksin_01093	Ish gw gedeg bat sm Abang gw sotoy bgt masalah vaksin, kemakan berita hoax si ish dah mana susah bet disuru pake masker
vaksin_01097	Informasi "𝐏𝐄𝐑𝐔𝐁𝐀𝐇𝐀𝐍 𝐋𝐎𝐊𝐀𝐒𝐈" Serbuan Vaksinasi covid-19 Masyarakat Maritim. Kabupaten Sikka. Senin 12 Juli 2021 dilaksanakan di Mako Lanal Maumere.
vaksin_01100	Ya mereka yg kumpul2 itu kena bagusya ditolak masuk RS biar g nyulitin nakes. G boleh beli2 tabung oksigen, obat. Di rumah aja atau ke dukun aja. Kebanyakan dr mrk kan percaya covid itu hoax lah atau klo ke RS disuntik mati lah. Dll. Bnyk bgt tingkah laku manusia2 gaje ini
vaksin_01101	PPV HOSPITAL PAKAR AN-NUR Jumlah Pemberian Dos Vaksin Covid-19 bagi 9 JULAI 2021 : 276 Jumlah Kumulatif Pemberian Dos Vaksin Covid-19 setakat 9 JULAI 2021 : 2408 Moga Allah permudahkan usaha dan urusan kita semua.
vaksin_01134	Antusias Warga Sukapura Ikut Vaksinasi COVID-19
vaksin_01144	Tu kes yg dijangkiti covid. Jauh drpd awk ckp. Kes yg sudah divaccine 2 dos meninggal and disebabkan ventilator. Ada jugak yg hdup sbb ventilator. Tknk highlight jgk ke? Yg mati dkt rumah tu tnpa intubate. Mcm mana ye?
vaksin_01149	Waktu koordinir vaksinasi teknisi bulan lalu juga nakes nya jutek melotot ketus. Ampe teknisi pd males, gimana org mau vaksin kalau kesan nya begitu untung yg vaksin bapak w ini ramah, kalo ga apa ga makin ngamuk bapak w kalau diketusin, dahlah dia ga percaya covid
vaksin_01171	jgn mau temenan sm orang yg plesetin vaksin jd fucksin alias diem lu anjing
vaksin_01173	Nak tunggu vaksin tak dpat².. nak keluar rumah balik kampung ntah bila boleh dpat... Tak tahulah mana yang smpai dlu... Entah vaksin ke covid yg kena dlu nanti...
vaksin_01175	iya jee, padahal seminggu yg lalu vaksin barenggg wkwkkw
vaksin_01176	Vaksin kita abal2, tentu gak bisa menekan covid19
vaksin_01184	belum vaksin, kak?
vaksin_01189	belagak yal budak budak dpp ni mementang dah vaksin
vaksin_01192	Realisasi Anggaran Testing Covid-19 RI Minim Ketimbang Vaksinasi
vaksin_01193	tgl 15 bisa vaksin gk yak, di daerah sni knp blum ada vaksin usia 12-17, tapi katanya bisa
vaksin_01197	Vaksin lagi nih? Bukan apa-apa nih tp saya takut jarum
vaksin_01202	Demam lps dpt vaksin is no joke, smpai gigil 1 badan dibuatnya
vaksin_01203	Mau ada Audit dana Kopit, gudang vaksin aja di bakar
vaksin_01210	Masyarakat dihimbau untuk mendukung dan berpartisipasi untuk melakukan vaksin karena hal tersebut menjadi kewajiban kita sebagai warga negara untuk membantu pemerintah dalam memutus rantai penyebaran Covid-19. Otsus Berjalan Baik
vaksin_01214	Ayeuna vaksin ges bisa dimana wae, kecuali room karoke. Datang weh ka tiap puskesmas terdekat, tp usahakeun puskesmas na sesuai domisili ktp weh
vaksin_01215	Masalahnya kebayakan perushaan mengharuskan karyawannya ikut vaksin, kalo ndak mau kena sangsi. Gimana dong? Gw sih sbnernya Jg gak percaya dgn vaksin-vaksin itu.
vaksin_01216	Pemberian VAKSIN Terbukti Mampu Melindungi Diri dari Mutasi Virus COVID-19.
vaksin_01225	Lemes bgt kek habis disuntik vaksin? SEMANGAT SEMANGAT SEMANGAT!!!!!
vaksin_01227	Bangun pagi tengok MySejahtera hantar notifikasi cucuk vaksin. Alhamdulillah setelah lama menanti
vaksin_01234	. . . PPKM Darurat dilakukan untuk menekan menghambat laju Covid-19 dengan mengurangi mobilitas. Tingkatkan Gerai Vaksinasi
vaksin_01274	Yukk vaksin , yang mash ada ksmptan skrg yuk dimanfaatkan . Jngn tnggu kena covid dlu bru mau vaksin ya gaes . Covid ga enak , sumpah
vaksin_01277	Setelah meninjau serbuan vaksinasi di makodam V Brawijaya, kali ini Gubernur Khofifah mlakukan peninjauan gerai vaksinasi Covid - 19 di Pendopo Kantor Kecamatan Ngoro Jl. Airlangga No. 106, Ngoro, Kec. Ngoro, Kab. Mojokerto
vaksin_01288	Sepupuku kemarin ngga percaya covid, jalan² main mulu, ngga mau vaksin. Eh sekarang ikutan kena covid wkwkwkwk. Tadinya gamau ketawa, tapi ish orang² indo kenapa si kudu njeblos ke jurang dulu baru mau dibilangin
vaksin_01301	Apakah Siloam Lippo Village akan menyediakan vaksin Covid?
vaksin_01305	Ya kan dari awal VGR emang komersil. Knp hrus dipermasalahkan? Kalau dicampur aduk program gratis pemerintah dan swasta bnyak miss dilapangan dsb. Kalo mnurutku itu bukan previledge krn VGR awalnya komersil kan? Toh tetep bayar &amp; malah membantu mngurangi antrian di vaksin gratis
vaksin_01308	SAMA saya juga vaksin astra, g ada efek apapun, body orang beda2, jgn disamaratakan.
vaksin_01310	Harap ada member masa vaksin nnt
vaksin_01314	percuma sj pohonnya disemprot(PPKM) dikasih pupuk tiruan(vaksin abal2) trus benalu2nya dibiarkan sj ya gak akan subur itu pohon(gk beres2 ini Covid) singkirkan dulu itu benalu2ny sprti RS yg mngcovidkan pasien,yg menimbun obat vaksin,tabung yg langka jgn suntikan Vaksin yg abal2
vaksin_01318	Musuh utama rakyat Malaysia sekarang ni bukan Covid-19. TAPI sistem kerajaan bangang lagi tak guna. Dengan golongan anti vaccine bangsat. Duk sebar info palsu sana sini dekat socmed. Bila kena tahan polis, main sentimen kemanusiaan. Aaaaaa salam jari tengah!
vaksin_01320	siapa yang baru vaksin aku mau dong nonjok lenganmu
vaksin_01323	ikut berduka cita. lah.... sebelumnya sudah di vaksin COVID 19 belum ?
vaksin_01332	Karena vaksin bukan berarti kita kebal, tapi kita siap untuk bisa menghadapi apabila kita terpapar COVID-19
vaksin_01336	Gerai Vaksin Presisi Polres Aceh Tenggara. lewat
vaksin_01340	Segala opini negatif perihal vaksin&amp;covid gaakan menyelamatkan kt dari situasi&amp;keadaan ini,di luar covid itu adq/tdk tp klo kt sendiri tdk menjalankan prokes&amp; tdak melakukan usaha "vaksin" hanya semakin memperkuat alasan pemerintah untuk mengeluarkan kebijakan2 yg merugikan kta
vaksin_01341	Vaksinasi COVID-19 bagi anak dan remaja terus digalakkan. Kali ini, vaksinasi untuak anak usia 12-18 tahun mulai dilakukan di Palembang, Sumatera Selatan.
vaksin_01350	Beretorika terus padahal jualan vaksin bilangnya dlm rangka herd immunity,
vaksin_01352	Dah bener ajaaa harus nginep stasiun buat dapet antri vaksin
vaksin_01353	Betol, kemaren prnh dpt brodkes by wa, judulnya "pe-golf senior bicara soal vaksin, dan masuk akal" pffttt
vaksin_01354	Ayo jualan vaksin.... kerok habis duit rakyat...
vaksin_01356	Sekarang naik kereta hrus ada bukti vaksin:( pdhal niatnya agustus pgen ke malang [pdhal masih lama tapi kepikirannya sekarang]
vaksin_01358	Dulu awal2 vaksin datang banyak yg meragukan, banyak yg sangsi, akhirnya gak ikut, sekarang sampe antri2, giliran ada pilihan berbayar protes lagi.. +62 banget..
vaksin_01359	Lbh baik sumbangkan uang kalian utk turut mengatasi pandemi. Beli kek vaksin satu-dua juta lalu buka semacam klinik berjalan utk vaksinasi covid, pasti kalian dpt simpati besar dr masyarakat dan insya Allah partai kalian pun dpt simpati besar. Drpd cuma ngerecokin pemerintah.
vaksin_01367	lebih heran lagi sama orang orang yg sebenernya bisa divaksin &amp; udah dapat jadwal vaksin tapi gak mau berangkat
vaksin_01368	Ppergi ke jepang Dpt vaksin pfizer Mobil baru
vaksin_01379	Wow bukannya vaksin covid itu geratis itu yg ngomong RI 1 sekarang malah pemerintah yg yg membuka
vaksin_01387	BUMN Kimia Farma Jualan Vaksin Covid-19, Wagub DKI: Lewat Aplikasi Jaki Gratis
vaksin_01390	Kimia Farma Jualan Vaksin Covid-19, Wagub DKI: Lewat Aplikasi Jaki Gratis lewat Online
vaksin_01405	Aliyah Mustika Ilham Kritik Rencana Pemerintah Komersilkan Vaksin COVID-19
vaksin_01407	Pengalihan isu. Covid nya bohong apanya mau di vaksin. Terkurtuk lah kalian. Vaksin isi air galon
vaksin_01421	Kalau tentang covid itu dijadikan alat tmbang uang baru buat pejabat ya percaya sih. Bahkan saya percaya kalau covid ini bioweapon sengaja dibuat ntah untuk melemahkan atau ujungnya adlah komersialisasi vaksin demi keuntungan 1% borjuis.
vaksin_01437	Vaksin Moderna sama juga seperti vaksin mRNA (messenger RNA) lainnya merupakan vaksin dengan efikasi yang tinggi yang sudah terbukti cukup ampuh digunakan di Amerika Serikat untuk bisa menekan laju penularan Covid-19.
vaksin_01439	Sebenernya orang2 yang mengaku dirinya gapercaya adanya covid (salah satunya "dokter" yang viral belakangan ini) dan nyebar2 konspirasi itu dia beneran percaya sama teori yang dia ucapkan apa cuma orang yang jobless terus nyari perhatian publik sih?
vaksin_01444	vaksin berbayar bisa di skip tanpa iklan xixixi
vaksin_01447	Soeharto aja beberapa Vaksin semua gratis, coba pada saat bayi di kasih Imunisasi
vaksin_01449	Sinovac datang = netizen tidak percaya soal vaksin, astra mengandung babi = netizen khawatir, sinopharm bayar = netizen pgn yg gratis. Trus pgn pandemi covid berakhir. Aduh.
vaksin_01452	Hih vaksin gotong royong, gak level. Eike dong pk vaksin dior.
vaksin_01455	Kalau logikanya yg butuh sehat pasti butuh vaksin,ya jual saja vaksin sama yg dipakai massal oleh pemerintah tana membedakan vaksin ini dan itu. Sama kualitasnya kan? Kalau sama dan yg butuh sehat pasti beli,baru benar.
vaksin_01456	Mungkin bisa, tapi gatau kalau ada prosedur tambahan kek surat vaksin dst.. Aku ada cp travel kediri-malang kalau kamu mau, biar bisa konfirmasi juga
vaksin_01459	Punya bukti kalau vaksin sinopharm yang digunakan untuk vaksin gotong royong (berbayar) adalah sumbangan?
vaksin_01460	positif thinking aja, yg gk vaksin aja sembuh, jumlah jutaan sedunia. Divaksin, apapun itu, efektifitas &gt;50% aja udah membantu bgt.
vaksin_01461	Aku sorang jeke lepas vaksin tak baik baik demam ? Da hari ke 3
vaksin_01463	Noted, buat jadwal vaksin minggu ini :D
vaksin_01465	Kalo diperiksa benar saya kira aman ,vaksin tidak boleh ada penyakit dalam ,nah rata2 di cuzz gak dicek dulu
vaksin_01466	Ya buat dijual kimia farma lah dengan harga 900ribuan satu paket vaksin
vaksin_01467	Halo Pak coba jawab tanya rakyat Jangan sampai nakes pula yg dituduh makan itu uang vaksin
vaksin_01468	heh tidur yg cukup,aku kmrn vaksin tidur jam 5 pagi besoknya tensi sm suhu aku lumayan tinggi
vaksin_01470	Covid-19: WHO Belum Yakin Kebutuhan Vaksin Booster Saat Ini
vaksin_01471	Ada lagi yg lebih binatang ? Yaitu saat rakyat susah, kabarnya vaksin hibah dari UEA sebanyak 4 juta ternyata harus berbayar dan bisa dibeli di Kimia Farma .
vaksin_01478	dan harus diliat juga berapa banyak nakes yg jadi lebih aman, kalaupun kena gejalanya nggak separah yg blm vaksin, brp banyak yg berhasil, dll. logikanya, udah divaksin aja masih kena, gimana engga? ditambah mereka overworked, burnout, dll, coba bayangin kalau ngga ada vaksin?
vaksin_01482	SAYA TAK SABAR NAK DI VAKSIN!
vaksin_01485	semoga target vaksin segera tercapai
vaksin_01486	Waktu gue vaksin bulan kemaren...antrian sepi, eh giliran ada info yg gak mau di vaksin bakalan gak bisa urus KJP mulailah pada berbondong2 vaksin, mereka gak takut sama covid cuma takut duit KJP nya ilang
vaksin_01489	Dari segi investor "anjir hari ini keknya saham KF bakalan cuan nih". Dari segi masyarakat "aelah baru aje mo vaksin dah ada berita beginian aje". Dari segi masyarakat yang baru vaksin ke-1 "awas aje nih vaksin ke-2 gue disuruh beli sendiri". Huft
vaksin_01491	Istana pake vaksin apa..? Koq ga ada yg kena Covid ya..?
vaksin_01495	Si akang ini kebanyakan minum vaksin kayaknya. Ngigau siang malam.
vaksin_01496	Semalam susah tidur sebab duk fikirkan aku nak kena vaksin jumaat nih aku melupakan fakta yang paling besar iaitu aku takut jarum. Tak tahu lah ehh sejak bila takut jarum nih, sebab dulu waktu sekolah men and asasi aku paling semangat nak kena ambil darah
vaksin_01497	Kan dia dah bgtaw.. mungkin ade luar KL bermastautin dalam KL.. bleh jadi databased MySejahtera rekod ade 1juta org KL.. tp ade org luar dpt tembus utk cucuk vaksin.. bleh jadi dia dpt reg n pilih KL time reg AZ haritu.. padahal duduk kt seremban, kota bharu.
vaksin_01498	Maksa banget untuk menakut-nakuti orang Dokter kok seperti ini Jualan vaksin dan obat untuk memeras Rakyat Saya lebih percaya sama dr
vaksin_01503	berasa pinter or berasa hebat? Vaksin berbayar pasti lah buat orang punya duit. Ngapain orang kaya raya cikeas ngurusin orang kaya ? Bantuin tuh orang miskin daerah cikeas yg tiap hari dilewatin sama mobil mewah kalian
vaksin_01505	Jkt agresif mengejar target vaksin. Daerah lain, stock? Sampai skrg lansia blm selesai, yg &gt;19 thn byk yg blm syaratnya sulit. Sodara saya sampai skrg blm dpt jatah. Eh muncul rencana berbayar dari swasta. Mbok kejar dulu merata. Tahun depan berbayar ok lah.
vaksin_01511	Vaksin ditempat gua sini, ad gua loooh tiap hari
vaksin_01513	mantap kitorang vaksin lu minggu ni insyaAllah minggu depan terus 3.0
vaksin_01516	Ealah diralat lagi...vaksin program apa pak? Negara koq jualan vaksin
vaksin_01518	Temen kemarin ada yg meninggal krn Covid, padahal sebulan lalu sdh Vaksin Sinovac kumplit, nggak pake lama, cuma seminggu. Innalilahi wa Innalilahi Rojiun.
vaksin_01520	Bisa jadi vaksin gratis di tempat A di bawa yg 50% ke tempat B untuk dijual. Indonesa gitu lhoooch.... apa ygga mungkin
vaksin_01522	Buat saya yg bodoh ini, jualan vaksin saat korban2 berjatuhan di masa pandemi jelas kebijakan yg biadab dan melanggar nilai kemanusiaan.
vaksin_01524	Meanwhile di negara wkland vaksin di bisnisin buat modal curang 2024. Apa ga cape?
vaksin_01525	Apa Alasan Pemerintah Sediakan Program Vaksinasi Covid-19 Berbayar?
vaksin_01529	Bosan la dngr abah tngk berita dah dekat dua tahun pembaca berita tu baca benda yg sama je tak de isu2 semasa lain dah selain covid dan vaksin pastu menteri bertekak sana sini
vaksin_01536	Vaksin efektif?Banyak yg divaksin juga masih kena covid kok, lagian efek usai vaksin pada sebagian orang lebih bahaya dari gejala covid itu sendiri. Akal dipakelah, jangan cuma jadi kacung yg manggut2 aja dengan penjelasan &amp; arahan atasan yg seolah-olah benar padahal salah kaprah
vaksin_01565	klo udh perna kena covid wajib vaksin gasi
vaksin_01572	We can reduce workload of hosptial by taking the vaccine. Kalau antivaxx x amik. Bagus. Kena kt diorg meninggal. Rezeki. Sbb bala kena kt depa. Org amik vaccine still kena covid but the side effect can reduce to nill.
vaksin_01580	Sentra vaksinasi COVID-19 ini buka setiap Senin sampai dengan Jumat.
vaksin_01585	Bukti nya kan saat ini angka penularan covid masih tinggi kan??,,dan yg tertular itu lu yakin mrk belum vaksin????,,siapa yg halu??,,
